datetime,high,low,average,volume
2011-09-26 00:00:00,,,4.95,58824.78
2011-09-27 00:00:00,,,4.84,32240.24
2011-09-28 00:00:00,,,4.74,35035.38
2011-09-29 00:00:00,,,4.7,16923.63
2011-09-30 00:00:00,,,5.01,42893.6
2011-10-01 00:00:00,,,5.05,23967.33
2011-10-02 00:00:00,,,4.98,10982.6
2011-10-03 00:00:00,,,4.94,19569.47
2011-10-04 00:00:00,,,4.9,20007.76
2011-10-05 00:00:00,,,4.86,20570.04
2011-10-06 00:00:00,,,4.68,57609.01
2011-10-07 00:00:00,,,4.29,98871.79
2011-10-08 00:00:00,,,4.03,40238.24
2011-10-09 00:00:00,,,4.19,38169.59
2011-10-10 00:00:00,,,4.1,17580.38
2011-10-11 00:00:00,,,3.95,41837.43
2011-10-12 00:00:00,,,4.07,70098.1
2011-10-13 00:00:00,,,4.08,20669.62
2011-10-14 00:00:00,,,4,21444.18
2011-10-15 00:00:00,,,3.89,42895.66
2011-10-16 00:00:00,,,3.64,37512.1
2011-10-17 00:00:00,,,2.85,208676.35
2011-10-18 00:00:00,,,2.62,88365.65
2011-10-19 00:00:00,,,2.28,102479.86
2011-10-20 00:00:00,,,2.31,49371.88
2011-10-21 00:00:00,,,2.54,73851.07
2011-10-22 00:00:00,,,3.01,121360.17
2011-10-23 00:00:00,,,3.08,37764.56
2011-10-24 00:00:00,,,2.81,92803.84
2011-10-25 00:00:00,,,2.74,102426.43
2011-10-26 00:00:00,,,2.75,30326.81
2011-10-27 00:00:00,,,2.92,59449.56
2011-10-28 00:00:00,,,3.11,53410.78
2011-10-29 00:00:00,,,3.54,80533.65
2011-10-30 00:00:00,,,3.38,51820.79
2011-10-31 00:00:00,,,3.19,31543
2011-11-01 00:00:00,,,3.19,38666.72
2011-11-02 00:00:00,,,3.23,32727.8
2011-11-03 00:00:00,,,3.21,24922.18
2011-11-04 00:00:00,,,3.13,40625.69
2011-11-05 00:00:00,,,3.01,53518.09
2011-11-06 00:00:00,,,2.96,17543.6
2011-11-07 00:00:00,,,3,24480.55
2011-11-08 00:00:00,,,3.09,62115.94
2011-11-09 00:00:00,,,3,52850.96
2011-11-10 00:00:00,,,2.87,34708.29
2011-11-11 00:00:00,,,2.97,45292.63
2011-11-12 00:00:00,,,3.06,20995.48
2011-11-13 00:00:00,,,3,9780.33
2011-11-14 00:00:00,,,2.51,384475.29
2011-11-15 00:00:00,,,2.3,77616
2011-11-16 00:00:00,,,2.46,44834.6
2011-11-17 00:00:00,,,2.23,120547.36
2011-11-18 00:00:00,,,2.14,99565.69
2011-11-19 00:00:00,,,2.17,79753.9
2011-11-20 00:00:00,,,2.28,80777.15
2011-11-21 00:00:00,,,2.23,43745.57
2011-11-22 00:00:00,,,2.31,35273.62
2011-11-23 00:00:00,,,2.32,41113.77
2011-11-24 00:00:00,,,2.42,88867.34
2011-11-25 00:00:00,,,2.47,45361.86
2011-11-26 00:00:00,,,2.48,36412.63
2011-11-27 00:00:00,,,2.46,23125.54
2011-11-28 00:00:00,,,2.51,42519.93
2011-11-29 00:00:00,,,2.79,181329.33
2011-11-30 00:00:00,,,2.91,121003.03
2011-12-01 00:00:00,,,3.05,65503.57
2011-12-02 00:00:00,,,3.1,58549.86
2011-12-03 00:00:00,,,2.93,123933.65
2011-12-04 00:00:00,,,2.75,95772.81
