Month,Day,Year,Price,totalCirculation,totalTransactionFees,numberOfUniqueBitcoinAddressesUsed,totalOutputVolumeValue,averageNumberOfTransactionsPerBlock
3,5,2010,0,2197200,0,178,27900,1
3,6,2010,0,2206350,0,187,32797.39,1
3,7,2010,0,2215000,0,177,16250,1
3,8,2010,0,2221800,0,143,15845.18,1
3,9,2010,0,2229200,0,149,11400,1
3,10,2010,0,2236650,0,153,8850,1
3,11,2010,0,2243950,0,155,11749.99,1
3,12,2010,0,2249850,0,119,6150,1
3,13,2010,0,2257750,0,160,9800,1
3,14,2010,0,2264000,0,127,7800,1
3,15,2010,0,2270200,0,131,6302,1
3,16,2010,0,2277000,0,138,6950,1
3,17,2010,0,2283150,0,127,8301,1
3,18,2010,0,2290950,0,163,8130,1
3,19,2010,0,2297600,0,140,15470,1
3,20,2010,0,2307250,0,204,13696,1
3,21,2010,0,2316300,0,191,11552,1
3,22,2010,0,2325150,0,184,11500,1
3,23,2010,0,2335400,0,212,13960.59,1
3,24,2010,0,2344100,0,183,10076.34,1
3,25,2010,0,2353400,0,196,33800,1
3,26,2010,0,2363150,0,204,12351,1
3,27,2010,0,2371850,0,183,12950,1
3,28,2010,0,2381550,0,197,11600,1
3,29,2010,0,2391150,0,199,13250,1
3,30,2010,0,2401700,0,214,11100,1
3,31,2010,0,2412050,0,209,11400,1
4,1,2010,0,2421500,0,195,10924.2,1
4,2,2010,0,2428900,0,152,8800,1
4,3,2010,0,2437200,0,173,10023.48,1
4,4,2010,0,2445500,0.26,172,10500,1
4,5,2010,0,2453800,0,176,12594.74,1
4,6,2010,0,2461050,0,175,19633.45,1
4,7,2010,0,2470700,0,203,15153.14,1
4,8,2010,0,2480450,0,209,13238.74,1
4,9,2010,0,2489300,0,190,11424.01,1
4,10,2010,0,2501300,0,302,53193,1
4,11,2010,0,2513250,0,269,22677.31,1
4,12,2010,0,2524100,0,259,43764.61,1
4,13,2010,0,2532350,0,182,11577,5
4,14,2010,0,2542350,0,233,15257.29,10
4,15,2010,0,2552650,0,277,114696.12,1
4,16,2010,0,2562750,0,231,27931.63,1
4,17,2010,0,2573250,0,236,18391.58,1
4,18,2010,0,2586500,0,1346,25304.6,1
4,19,2010,0,2597350,0,2286,43832.61,1
4,20,2010,0,2607600,0,234,42263.8,1
4,21,2010,0,2618650,0,241,15308.81,1
4,22,2010,0,2627500,0,207,31902.85,1
4,23,2010,0,2635000,0,192,13790.99,1
4,24,2010,0,2642350,0,184,19781.1,1
4,25,2010,0,2650800,0,196,21180.8,1
4,26,2010,0,2659300,0,211,17815.5,1
4,27,2010,0,2667800,0,216,22343.93,1
4,28,2010,0,2676550,0,212,16271.87,1
4,29,2010,0,2684500,0,188,13386.03,1
4,30,2010,0,2692150,0,179,40960.32,1
5,1,2010,0,2700300,0,181,41344.6,1
5,2,2010,0,2708800,0,190,12403,1
5,3,2010,0,2716800,0,178,15751,1
5,4,2010,0,2723300,0,148,12603.99,1
5,5,2010,0,2730600,0,171,36805.82,1
